configuration,Time,CF
dp-encode,61.7691,2.734180
dp-encode,37.518,5.946090
dp-encode,59.7114,1.841040
dp-encode,49.3755,3.328930
dp-encode,34.1589,1.771520
dp-encode,33.2862,0.850369
dp-encode,42.1211,7.210280
dp-encode,72.2338,1.911110
dp-encode,43.5827,2.499670
dp-encode,30.4813,3.461350
dp-encode,29.9847,1.537160
dp-encode,38.2769,3.059750
dp-encode,33.8784,1.668360
dp-encode,27.5541,7.092020
dp-encode,30.9999,2.486890
dp-encode,37.3445,2.157190
dp-encode,49.0988,2.122480
dp-encode,34.892,3.174330
dp-encode,27.1887,7.442240
dp-encode,32.7675,2.177150
dp-encode,36.451,7.257080
dp-encode,68.605,1.902570
dp-encode,44.7683,2.523780
dp-encode,99.9535,1.799820
dp-encode,223.819,1.981560
dp-encode,98.9825,1.882560
dp-encode,43.0798,2.917030
dp-encode,31.6182,2.720840
dp-encode,35.6778,3.512080
dp-encode,35.4042,7.083630
dp-encode,32.7887,3.236700
dp-encode,36.5035,7.451120
dp-encode,49.8654,3.611560
dp-encode,43.6698,2.381990
dp-encode,34.5913,1.611920
dp-encode,28.6298,1.216540
dp-encode,43.37,1.741990
dp-encode,34.5523,3.815520
dp-encode,39.5036,2.191830
dp-encode,100.903,3.034180
dp-encode,37.4767,2.019360
dp-encode,46.7216,1.663380
dp-encode,26.2355,7.038540
dp-encode,90.3126,2.878310
dp-encode,188.782,3.153160
dp-encode,46.6958,2.203590
dp-encode,41.3089,2.620190
dp-encode,71.4032,2.252550
dp-encode,40.6469,2.411450
dp-encode,91.7909,2.878850
dp-encode,70.4135,2.688100
dp-encode,106.731,3.041710
dp-encode,74.5859,2.252550
dp-encode,45.8019,2.381990
dp-encode,51.3019,1.698310
dp-encode,69.0453,2.306720
dp-encode,34.8807,1.216540
dp-encode,37.7625,2.702960
dp-encode,51.3442,3.015580
dp-encode,85.1971,2.779980
dp-encode,43.7433,3.228090
dp-encode,212.76,1.739800
dp-encode,43.361,1.802150
dp-encode,104.04,2.165790
dp-encode,41.7673,3.201210
dp-encode,42.2038,2.722450
dp-encode,46.6966,2.685570
dp-encode,47.332,2.910090
dp-encode,51.3842,1.498870
dp-encode,47.2797,2.877200
dp-encode,49.1041,2.098850
dp-encode,410.082,1.647740
dp-encode,107.188,2.634260
dp-encode,55.9545,1.770010
dp-encode,37.3241,2.183710
dp-encode,370.615,1.760330
dp-encode,55.2941,3.661630
dp-encode,39.4796,2.280870
dp-encode,34.2961,2.266710
dp-encode,38.124,3.528670
dp-encode,32.9453,2.357440
dp-encode,64.5425,1.788120
dp-encode,58.1781,3.683870
dp-encode,47.6945,4.374410
dp-encode,37.0766,1.727320
dp-encode,62.4501,2.360800
dp-encode,38.5346,1.847950
dp-encode,33.1193,2.028510
dp-encode,31.4371,2.224110
dp-encode,51.6881,1.571840
dp-encode,56.3892,1.836880
dp-encode,54.2886,1.598040
dp-encode,51.6536,2.749450
dp-encode,54.951,2.029110
dp-encode,35.3226,1.853320
dp-encode,32.9139,2.135510
dp-encode,55.7727,1.594780
dp-encode,32.7278,1.975370
dp-encode,47.7479,2.057540
dp-encode,64.2284,3.041040
dp-encode,62.12,1.810460
dp-encode,38.3859,2.882620
dp-encode,88.1058,2.551210
dp-encode + dp-train,42.8031,7.659080
dp-encode + dp-train,40.1824,7.255580
dp-encode + dp-train,39.2787,7.291480
dp-encode + dp-train,123.697,3.930210
dp-encode + dp-train,42.7008,1.541260
dp-encode + dp-train,182.975,1.767320
dp-encode + dp-train,64.8095,2.996690
dp-encode + dp-train,43.1844,1.713770
dp-encode + dp-train,44.9914,1.453050
dp-encode + dp-train,40.6921,3.229770
dp-encode + dp-train,44.0035,3.749150
dp-encode + dp-train,123.646,1.758690
dp-encode + dp-train,130.462,2.763950
dp-encode + dp-train,59.3702,3.370050
dp-encode + dp-train,52.4484,5.130630
dp-encode + dp-train,42.8959,1.454040
dp-encode + dp-train,44.8872,1.453050
dp-encode + dp-train,122.14,2.761660
dp-encode + dp-train,48.4169,2.593690
dp-encode + dp-train,56.1812,3.321090
dp-encode + dp-train,38.5325,2.105610
dp-encode + dp-train,42.3031,3.106750
dp-encode + dp-train,42.9468,1.454040
dp-encode + dp-train,122.877,2.763950
dp-encode + dp-train,48.8297,4.270360
dp-encode + dp-train,110.869,1.547010
dp-encode + dp-train,126.766,1.758690
dp-encode + dp-train,40.3927,2.131130
dp-encode + dp-train,68.2235,2.246070
dp-encode + dp-train,47.7064,5.615110
dp-encode + dp-train,42.2556,3.106750
dp-encode + dp-train,53.1715,5.130630
dp-encode + dp-train,87.6458,2.609160
dp-encode + dp-train,38.0677,2.131130
dp-encode + dp-train,58.4886,3.370050
dp-encode + dp-train,64.0174,2.841420
dp-encode + dp-train,39.9856,5.991920
dp-encode + dp-train,57.2904,1.856930
dp-encode + dp-train,43.8491,3.545490
dp-encode + dp-train,29.7576,1.583140
dp-encode + dp-train,31.0991,0.836269
dp-encode + dp-train,45.3706,7.775900
dp-encode + dp-train,69.3302,1.936700
dp-encode + dp-train,44.7727,2.446040
dp-encode + dp-train,32.2276,3.688320
dp-encode + dp-train,30.1792,1.552470
dp-encode + dp-train,38.19,3.209270
dp-encode + dp-train,34.5138,1.654920
dp-encode + dp-train,31.7948,7.199520
